"scientific_name","scientific_name_clean","join_name","match_status","Sequence","Species1","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","source","Species2","Family2","Order2","Avibase.ID2","Species3","Family3","Order3","Species.Status"
"Falco longipennis","falco longipennis","falco longipennis","exact","4064","Falco longipennis","Falconidae","Falconiformes","AVIBASE-B72DDBE4","5","2","3","0","4","19.7","13.6","10.3","12.2","35.9","255","147.8","103.5","58.8","128","249.81","Dunning","NA","NO","NA","NA","Forest","3","2","Carnivore","Vertivore","Aerial","-43.64","-7.11","-25.58","134.36000000000001","7754528.46","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Phalacrocorax varius","phalacrocorax varius","phalacrocorax varius","exact","2319","Phalacrocorax varius","Phalacrocoracidae","Suliformes","AVIBASE-E5FAABD0","5","1","0","4","4","75.1","56.5","12.7","17.5","63.8","295.4","110.8","181.8","37.8","136.2","1940.65","Dunning","NA","NO","NA","NA","Coastal","3","1","Carnivore","Aquatic predator","Aquatic","-52.61","-9.94","-26.35","140.80000000000001","4379236.12","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Turdus philomelos","turdus philomelos","turdus philomelos","exact","8941","Turdus philomelos","Turdidae","Passeriformes","AVIBASE-D929EB21","26","12","13","1","4","23.1","11.9","5","5.7","31.8","116","35.7","80.5","30.7","81.7","67.74","Dunning","NA","NO","NA","NA","Forest","1","3","Omnivore","Invertivore","Generalist","35.86","70.569999999999993","55.86","48.89","13727296.630000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Epthianura albifrons","epthianura albifrons","epthianura albifrons","exact","6097","Epthianura albifrons","Meliphagidae","Passeriformes","AVIBASE-54C1FDE5","16","3","13","0","4","12.7","7.6","2.4","2.6","19","70.4","16","53.9","22.9","42.1","13.3","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Invertivore","Generalist","-43.64","-23.02","-31.77","134.03","2667021.56","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Threskiornis spinicollis","threskiornis spinicollis","threskiornis spinicollis","exact","2167","Threskiornis spinicollis","Threskiornithidae","Pelecaniformes","AVIBASE-073C56D1","5","2","3","0","4","156.8","124.9","12.8","16.9","88.9","364.4","141.2","220","39","150.6","1346.72","Dunning","NA","NO","NA","NA","Grassland","3","1","Carnivore","Omnivore","Terrestrial","-39.24","-10.51","-25.22","135.65","6390192.3799999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Elanus axillaris","elanus axillaris","elanus axillaris","exact","2963","Elanus axillaris","Accipitridae","Accipitriformes","AVIBASE-67E74DD0","5","2","2","1","4","25.3","15.5","9","11.4","38.8","288.4","153","135.2","53.1","136.8","270.1","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Vertivore","Aerial","-43.06","-10.69","-25.69","134.44","7649038.1799999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Malacorhynchus membranaceus","malacorhynchus membranaceus","malacorhynchus membranaceus","exact","394","Malacorhynchus membranaceus","Anatidae","Anseriformes","AVIBASE-FE03DD1E","6","2","3","1","4","67.6","54","15.3","17.2","31.8","183.7","81.6","99.1","45.1","65.5","372.79","Dunning","NA","NO","NA","NA","Wetland","3","2","Omnivore","Omnivore","Aquatic","-38.86","-19.149999999999999","-31.58","136.15","1457174.78","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Anhinga novaehollandiae","anhinga novaehollandiae","anhinga novaehollandiae","exact","2325","Anhinga novaehollandiae","Anhingidae","Suliformes","AVIBASE-C57D9973","4","2","2","0","4","87.1","75","9.4","12.6","51.3","353","153.3","199.7","43.5","219","1480.06","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","-39.24","-0.34","-23.04","136.63999999999999","6824500.2000000002","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cacatua galerita","cacatua galerita","cacatua galerita","exact","4096","Cacatua galerita","Cacatuidae","Psittaciformes","AVIBASE-3F907C52","5","2","3","0","4","49.3","40.2","22.4","44.3","28.5","347.3","93.2","266","25.9","198.4","720.43","Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-43.64","0.04","-21","142.30000000000001","3905044.34","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cisticola exilis","cisticola exilis","cisticola exilis","exact","7494","Cisticola exilis","Cisticolidae","Passeriformes","AVIBASE-7CB5F8B8","12","5","7","0","4","11.6","6.4","2.1","2.5","17.4","45.2","7.7","38.8","16.4","40.8","7.04","Dunning","NA","NO","NA","NA","Grassland","2","1","Carnivore","Invertivore","Terrestrial","-39.14","29.96","-1.02","122.27","7165244.71","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Tadorna tadornoides","tadorna tadornoides","tadorna tadornoides","exact","456","Tadorna tadornoides","Anatidae","Anseriformes","AVIBASE-FF1439E4","4","0","1","3","4","51","33.3","19","15.8","61.9","353.5","177","176.5","50.1","106","1418.68","Dunning","NA","NO","NA","NA","Wetland","3","2","Omnivore","Omnivore","Terrestrial","-47.29","-18.46","-31.63","137.13","3300063.22","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Anas platyrhynchos","anas platyrhynchos","anas platyrhynchos","exact","525","Anas platyrhynchos","Anatidae","Anseriformes","AVIBASE-85625D75","12","6","6","0","4","58.5","41","20.8","17.8","40.6","263.4","133.5","129.9","50.7","86.9","843.42","Dunning","NA","NO","NA","NA","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","20.46","72.37","51.63","11.04","39707247.469999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Ninox novaeseelandiae","ninox novaeseelandiae","ninox novaeseelandiae","exact","2732","Ninox novaeseelandiae","Strigidae","Strigiformes","AVIBASE-E8E9C26D","4","0","0","4","4","22.8","12.3","7.8","12.3","32.5","194.2","64.2","130","33","118.5","183.37","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Invertivore","Insessorial","-47.29","-28.99","-41.78","171.49","269367.33","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Manorina melanocephala","manorina melanocephala","manorina melanocephala","exact","6150","Manorina melanocephala","Meliphagidae","Passeriformes","AVIBASE-585D688F","24","8","16","0","4","24.3","10.5","4.1","5.6","30.7","136.1","33.9","102.9","24.8","121.3","60.22","Dunning","NA","NO","NA","NA","Woodland","2","1","Omnivore","Omnivore","Insessorial","-43.58","-12.75","-29.23","146.36000000000001","2065246.62","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Spatula rhynchotis","spatula rhynchotis","spatula rhynchotis","exact","507","Spatula rhynchotis","Anatidae","Anseriformes","AVIBASE-A21E7645","4","2","2","0","3","63.8","45.4","19.4","17.4","30.8","224.2","123","101.2","54.8","71","638.96","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","-46.68","-14.05","-29.63","139.27000000000001","4454068.38","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter fasciatus","accipiter fasciatus","accipiter fasciatus","exact","3101","Accipiter fasciatus","Accipitridae","Accipitriformes","AVIBASE-8257AE54","11","8","3","0","9","28.5","19.1","11.2","15.2","71.9","269.9","103.6","167.3","38.3","206","358.66","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-43.64","-1.7","-24.45","134.94999999999999","8180196.71","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Zoothera lunulata","zoothera lunulata","zoothera lunulata","exact","8883","Zoothera lunulata","Turdidae","Passeriformes","AVIBASE-34226B9D","14","8","4","2","4","31.8","18.7","6.2","8","33.8","133.3","36.2","95.5","27.5","108.3","130","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Terrestrial","-43.64","-16.29","-34.119999999999997","147.06","578456.61","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Platycercus eximius","platycercus eximius","platycercus eximius","exact","4312","Platycercus eximius","Psittacidae","Psittaciformes","AVIBASE-69F0C9FF","5","2","3","0","4","18.3","14.7","10.6","18.3","17.8","151.4","63","86.2","42.2","155.8","104","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Omnivore","Insessorial","-43.52","-25","-33.61","147.21","1075798.21","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Petrochelidon ariel","petrochelidon ariel","petrochelidon ariel","exact","7695","Petrochelidon ariel","Hirundinidae","Passeriformes","AVIBASE-7FB74396","15","9","6","0","4","8.7","4.2","3.8","2.4","10.3","92.4","47.2","45.8","50.7","47.1","10.84","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Aerial","-39.24","-5.49","-25.34","135.91","5369308.6100000003","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Zanda funerea","zanda funerea","zanda funerea","exact","4083","Zanda funerea","Cacatuidae","Psittaciformes","AVIBASE-E6DFA707","5","2","3","0","4","52.1","42.5","26.7","57.7","31.5","426.2","180.5","243.5","42.7","340.4","674.72","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Insessorial","-43.64","-19.760000000000002","-31.7","147.38999999999999","1045925.98","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Colluricincla harmonica","colluricincla harmonica","colluricincla harmonica","exact","6356","Colluricincla harmonica","Pachycephalidae","Passeriformes","AVIBASE-AD4D85BB","19","7","12","0","4","26.4","14.6","5.5","7.9","31.1","123.2","23.9","100.5","19.2","102.1","65.8","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-43.64","-3.46","-25.55","135.15","6919512.5800000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Egretta garzetta","egretta garzetta","egretta garzetta","exact","2258","Egretta garzetta","Ardeidae","Pelecaniformes","AVIBASE-A6E9EDE5","6","2","3","1","4","94.6","68","8.9","11.3","98.8","252.5","82.8","167.2","33.1","94.2","312","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","-43.64","55.12","5.46","70.680000000000007","34141787.350000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Heteroscenes pallidus","heteroscenes pallidus","heteroscenes pallidus","exact","1695","Heteroscenes pallidus","Cuculidae","Cuculiformes","AVIBASE-D2B68684","5","2","2","1","4","26.5","15.6","6.6","7","22.7","186.2","92.5","94","49.6","162","87.69","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-43.64","-10.69","-25.74","134.47999999999999","7667931.1600000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cacatua sanguinea","cacatua sanguinea","cacatua sanguinea","exact","4092","Cacatua sanguinea","Cacatuidae","Psittaciformes","AVIBASE-5F5EBCF5","4","0","1","3","4","34","29.6","15.9","30.8","24.2","256.2","95.8","160.5","37.4","121.8","523.69","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-39.14","-7.71","-25.44","136.72999999999999","5297412.63","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Coracina novaehollandiae","coracina novaehollandiae","coracina novaehollandiae","exact","6450","Coracina novaehollandiae","Campephagidae","Passeriformes","AVIBASE-EBACA7A4","15","5","10","0","4","28.8","15.7","10.7","10.5","28.7","192","73.7","118.5","38.4","135.7","118","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-43.64","-8.0399999999999991","-25.69","134.52000000000001","7703886.0999999996","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthorhynchus tenuirostris","acanthorhynchus tenuirostris","acanthorhynchus tenuirostris","exact","6070","Acanthorhynchus tenuirostris","Meliphagidae","Passeriformes","AVIBASE-A542D690","20","6","12","2","4","26.8","18.9","2.3","2.7","18","65.6","14.2","54.6","20.6","57.1","10.44","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Nectarivore","Insessorial","-43.64","-15","-33.06","147.62","763502.74","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Erythrogonys cinctus","erythrogonys cinctus","erythrogonys cinctus","exact","2427","Erythrogonys cinctus","Charadriidae","Charadriiformes","AVIBASE-A358D6BF","4","2","2","0","4","24.1","16.4","3.4","4.3","39","110.2","46.5","63.8","42.2","46.5","51.4","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","-39.24","-7.73","-25.94","134.28","5111119.63","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Ardea intermedia","ardea intermedia","ardea intermedia","exact","2246","Ardea intermedia","Ardeidae","Pelecaniformes","AVIBASE-30785911","5","2","3","0","4","90.4","61.4","10.5","14.1","104.2","303.4","98.4","202.3","32.7","117.8","458.83","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","-8.85","39.29","21.5","99.46","5469087.0099999998","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Podargus strigoides","podargus strigoides","podargus strigoides","exact","975","Podargus strigoides","Podargidae","Caprimulgiformes","AVIBASE-8500F130","6","2","3","1","4","42.6","22.1","29.3","20.6","28.4","228.8","63","165.8","27.5","172","308.03","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-43.64","-10.02","-25.73","134.47999999999999","7674636.8600000003","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cacomantis flabelliformis","cacomantis flabelliformis","cacomantis flabelliformis","exact","1689","Cacomantis flabelliformis","Cuculidae","Cuculiformes","AVIBASE-D86848D4","5","2","3","0","4","21.5","11.5","4.9","5.6","16.7","137.2","59.2","78","43.2","133.4","49.8","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-43.64","-0.53","-28.78","142.25","2434269.44","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Pardalotus striatus","pardalotus striatus","pardalotus striatus","exact","6165","Pardalotus striatus","Pardalotidae","Passeriformes","AVIBASE-747BFF64","23","7","16","0","4","9","5.1","3.4","4","19.1","63.7","18.9","48.3","28","30.7","11.44","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-43.64","-10.91","-27.44","137.41","3215729.85","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Eudynamys orientalis","eudynamys orientalis","eudynamys orientalis","exact","1671","Eudynamys orientalis","Cuculidae","Cuculiformes","AVIBASE-3F75E818","9","4","5","0","8","33.9","19.7","10","11.1","37.4","209.9","50.5","159.9","23.9","206","194.92","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Frugivore","Insessorial","-36.68","2.65","-13.65","139.99","2672035.0299999998","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Thalasseus bergii","thalasseus bergii","thalasseus bergii","exact","2677","Thalasseus bergii","Laridae","Charadriiformes","AVIBASE-526978C4","5","3","2","0","4","68.6","44.5","7.1","12.7","30","357.8","249","107.5","69.9","172.4","328","Dunning","NA","NO","NA","NA","Coastal","3","3","Carnivore","Aquatic predator","Aerial","-44.6","30.73","-10.25","77.11","47808630.759999998","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Petroica phoenicea","petroica phoenicea","petroica phoenicea","exact","7129","Petroica phoenicea","Petroicidae","Passeriformes","AVIBASE-D3766504","11","5","6","0","4","13","6.8","3.4","3","18.8","77.6","21.7","56.5","27.7","54.7","13","Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Invertivore","Insessorial","-43.64","-28.98","-37.96","147.06","218089.7","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthiza chrysorrhoa","acanthiza chrysorrhoa","acanthiza chrysorrhoa","exact","6218","Acanthiza chrysorrhoa","Acanthizidae","Passeriformes","AVIBASE-B1B0E343","13","5","8","0","4","11.7","6.2","2.1","2.5","18","58.3","9.1","49.1","15.6","37.9","9.29","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Terrestrial","-43.64","-18.559999999999999","-28.8","136.41","4590956.34","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Platycercus elegans","platycercus elegans","platycercus elegans","exact","4309","Platycercus elegans","Psittacidae","Psittaciformes","AVIBASE-C343ED67","4","0","1","3","4","21","16.7","12.1","23.8","20.5","171","73","98","42.7","178.8","123.86","Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-39.14","-15.97","-32.729999999999997","147.25","743635.36","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Chlidonias hybrida","chlidonias hybrida","chlidonias hybrida","exact","2656","Chlidonias hybrida","Laridae","Charadriiformes","AVIBASE-7AB4E42B","6","3","3","0","4","35","20.1","4.3","7.5","23","231.8","144.5","82.8","63.6","85.8","83.67","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Aquatic predator","Aerial","-38.03","55.74","13.76","62.26","10089513.85","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cracticus nigrogularis","cracticus nigrogularis","cracticus nigrogularis","exact","6537","Cracticus nigrogularis","Artamidae","Passeriformes","AVIBASE-B731E469","14","5","9","0","4","43.9","27.1","9.8","13.8","36.5","171.8","48.5","125","27.9","129.3","128","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Omnivore","Insessorial","-38.61","-11","-24.64","133.63","6347951.0599999996","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Porzana fluminea","porzana fluminea","porzana fluminea","exact","1836","Porzana fluminea","Rallidae","Gruiformes","AVIBASE-C1F82F7A","4","0","1","3","4","20.9","9.3","2.7","5.2","27.2","96.8","33.8","63","34.9","48.5","60.79","Dunning","NA","NO","NA","NA","Wetland","2","2","Carnivore","Aquatic predator","Terrestrial","-43.64","-15.74","-30.69","139.88","1975889.79","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Hypotaenidia philippensis","hypotaenidia philippensis","hypotaenidia philippensis","exact","1806","Hypotaenidia philippensis","Rallidae","Gruiformes","AVIBASE-732D08C3","8","1","4","3","4","32.5","16.6","4.1","7.3","42.9","141.5","36.2","100.3","26.5","66.7","205.92","Dunning","NA","NO","NA","NA","Wetland","2","1","Omnivore","Omnivore","Terrestrial","-47.29","19.579999999999998","-14.9","139.63999999999999","2532556.0699999998","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Pachycephala pectoralis","pachycephala pectoralis","pachycephala pectoralis","exact","6348","Pachycephala pectoralis","Pachycephalidae","Passeriformes","AVIBASE-FF0730AE","43","10","32","1","12","17.5","9.9","4.9","5.5","22.7","89.9","16.3","73.5","18","67.2","30.36","Dunning","NA","NO","NA","NA","Forest","2","2","Carnivore","Invertivore","Insessorial","-43.64","-1.1599999999999999","-30.7","139.44999999999999","1963546.27","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Alauda arvensis","alauda arvensis","alauda arvensis","exact","7342","Alauda arvensis","Alaudidae","Passeriformes","AVIBASE-ED2AC04E","34","12","22","0","16","14.6","8.8","4.4","4.7","23.6","106.7","36","70.8","33.6","67.6","37.31","Dunning","NA","NO","NA","NA","Grassland","3","2","Omnivore","Omnivore","Terrestrial","-46.24","71.13","53.41","76.7","26018285.25","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Anthus novaeseelandiae","anthus novaeseelandiae","anthus novaeseelandiae","exact","9982","Anthus novaeseelandiae","Motacillidae","Passeriformes","AVIBASE-7BF0555A","18","8","7","3","8","15.5","9.2","3.4","3.9","25.6","83.8","19.7","67.2","22.6","65.1","24.07","Dunning","NA","NO","NA","NA","Grassland","3","1","Carnivore","Invertivore","Terrestrial","-52.62","-5.0999999999999996","-27.09","135.72999999999999","6479742.4000000004","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Petrochelidon nigricans","petrochelidon nigricans","petrochelidon nigricans","exact","7696","Petrochelidon nigricans","Hirundinidae","Passeriformes","AVIBASE-CF1BEA6B","11","6","5","0","4","10.3","4.3","3.6","2.5","10.8","107.6","56.8","49.9","53.2","58.1","15.4","Dunning","NA","NO","NA","NA","Shrubland","2","2","Carnivore","Invertivore","Aerial","-43.64","-8.07","-26.41","133.49","6475549.9199999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Platalea flavipes","platalea flavipes","platalea flavipes","exact","2156","Platalea flavipes","Threskiornithidae","Pelecaniformes","AVIBASE-62A22779","4","2","0","2","4","197.8","162.2","25.5","17.6","123.3","370","140.8","229.2","38","144.5","1741.26","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","-39.14","-22.13","-31.74","143.25","1812783.46","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Calidris ruficollis","calidris ruficollis","calidris ruficollis","exact","2472","Calidris ruficollis","Scolopacidae","Charadriiformes","AVIBASE-BBDF2F1B","4","2","2","0","4","19","13.7","2.4","3.3","18.8","99.5","54.2","45.2","54.5","43.5","26.79","Dunning","NA","NO","NA","NA","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","59.93","77.47","68.66","115.73","971179.99","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cacatua tenuirostris","cacatua tenuirostris","cacatua tenuirostris","exact","4090","Cacatua tenuirostris","Cacatuidae","Psittaciformes","AVIBASE-F2A2FB6A","5","0","0","5","4","48.9","44.2","17.2","35.2","23.9","268","117.5","152.2","43.6","119.8","566.61","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-39","-31.73","-35.630000000000003","143.99","381524.01","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cacomantis variolosus","cacomantis variolosus","cacomantis variolosus","exact","1693","Cacomantis variolosus","Cuculidae","Cuculiformes","AVIBASE-05824D50","15","7","5","3","8","20.5","12.9","5.3","5.4","16.3","115.4","45.5","72.9","38.3","112.9","35.75","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-39.479999999999997","19.579999999999998","-8.9","129.81","3706197.51","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Falco peregrinus","falco peregrinus","falco peregrinus","exact","4074","Falco peregrinus","Falconidae","Falconiformes","AVIBASE-47E58408","18","7","8","3","8","31.1","18.4","13.7","15.4","45.1","314.7","165","152.6","52.2","143","759.95","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Vertivore","Aerial","-55.98","80.180000000000007","50.28","21.82","38088662.450000003","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Plegadis falcinellus","plegadis falcinellus","plegadis falcinellus","exact","2188","Plegadis falcinellus","Threskiornithidae","Pelecaniformes","AVIBASE-D4540F88","8","4","4","0","4","117.2","102.8","10.4","13.9","86.4","274.8","104.7","165.3","38.9","102.7","626.61","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","-39.14","49.67","-2.86","50.72","23712479.579999998","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Falco berigora","falco berigora","falco berigora","exact","4066","Falco berigora","Falconidae","Falconiformes","AVIBASE-9F5AA09D","5","2","3","0","4","27.2","19.5","12.5","15.7","71.8","340.2","170.8","167","50.7","194","587.01","Dunning","NA","NO","NA","NA","Woodland","3","1","Carnivore","Vertivore","Generalist","-43.64","-1.47","-24.43","135.03","8273511.5700000003","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter cirrocephalus","accipiter cirrocephalus","accipiter cirrocephalus","exact","3115","Accipiter cirrocephalus","Accipitridae","Accipitriformes","AVIBASE-21957C95","5","2","3","0","4","19.2","10.6","7.7","9.6","60.3","213","81.3","133.7","37.8","155.4","165.73","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","-43.64","0.04","-23.36","137.81","5488639.4500000002","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthiza lineata","acanthiza lineata","acanthiza lineata","exact","6221","Acanthiza lineata","Acanthizidae","Passeriformes","AVIBASE-D0A0845A","19","9","10","0","4","9.9","5","2.1","2.8","17.1","51.5","9.4","40","19.1","37.9","6.85","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Invertivore","Insessorial","-39.24","-23.09","-32.159999999999997","147.5","1043817.35","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Larus pacificus","larus pacificus","larus pacificus","exact","2618","Larus pacificus","Laridae","Charadriiformes","AVIBASE-C08157E7","5","1","1","3","4","67.6","26.4","10.3","29.7","71.2","444.2","242.5","203.5","54.4","177.2","1292.03","Dunning","NA","NO","NA","NA","Coastal","3","2","Carnivore","Aquatic predator","Generalist","-43.64","-21.62","-35.11","134.28","392125.03","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Myzomela sanguinolenta","myzomela sanguinolenta","myzomela sanguinolenta","exact","6053","Myzomela sanguinolenta","Meliphagidae","Passeriformes","AVIBASE-F3E41C51","15","5","9","1","4","13.8","8.2","2.2","2.4","13.6","57.8","12.9","45.1","22.2","34.6","8.34","Dunning","NA","NO","NA","NA","Forest","2","2","Herbivore","Nectarivore","Insessorial","-38.130000000000003","-14.05","-27.41","148.84","912973.16","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Oxyura australis","oxyura australis","oxyura australis","exact","390","Oxyura australis","Anatidae","Anseriformes","AVIBASE-672BA2DA","4","2","2","0","4","44.2","25.5","19.4","12.1","33.2","154","66","88","42.9","61.5","798","Dunning","NA","NO","NA","NA","Wetland","3","2","Omnivore","Herbivore aquatic","Aquatic","-43.64","-24.72","-33.880000000000003","143.57","544505.23","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Melithreptus lunatus","melithreptus lunatus","melithreptus lunatus","exact","5989","Melithreptus lunatus","Meliphagidae","Passeriformes","AVIBASE-E4C4AC31","17","7","10","0","4","14.4","7.2","2.8","3.4","16.9","74.7","20.7","54.3","27.6","56.5","14.01","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-39.51","-15.35","-30.66","146.97","1242453.6000000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Gallinago hardwickii","gallinago hardwickii","gallinago hardwickii","exact","2509","Gallinago hardwickii","Scolopacidae","Charadriiformes","AVIBASE-C9B4E3D5","5","3","2","0","4","73.1","63.3","5","7.7","34.9","151","72.5","77.2","48.4","60.8","151.31","Dunning","NA","NO","NA","NA","Human Modified","3","3","Carnivore","Aquatic predator","Terrestrial","32.369999999999997","49.5","40.200000000000003","140.22999999999999","251911.82","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
